암호화요양기호,요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,주소,전화번호,병원URL,개설일자,총의사수,의과일반의 인원수,의과인턴 인원수,의과레지던트 인원수,의과전문의 인원수,치과일반의 인원수,치과인턴 인원수,치과레지던트 인원수,치과전문의 인원수,한방일반의 인원수,한방인턴 인원수,한방레지던트 인원수,한방전문의 인원수,x좌표,y좌표,조사기간,병원홈페이지,조산사 인원수,좌표(X),좌표(Y),equitments,levels,grade
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ4OSQyNjEwMDIjNDEjJDEjJDQjJDgz,참포도나무병원,21,병원,110000,서울,110021,서초구,,서울특별시 서초구 바우뫼로35길 32 (양재동),02-1588-0831,,20120724.0,12,0,0,0,12,0,0,0,0,0,0,0,0,,,202212,http://www.champodonamu.com/,0.0,127.0387018,37.4799379,0.021365396963483,0.0714285714285714,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQ2MiQzNjEyMjIjODEjJDEjJDYjJDgz,참푸른병원,21,병원,110000,서울,110021,서초구,,서울특별시 서초구 방배로 223 창생빌딩 2~7층 (방배동),02-6247-8800,,20190708.0,3,0,0,0,3,0,0,0,0,0,0,0,0,,,202212,,0.0,126.9899521,37.4930421,0.0277404513349489,0.5,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQyIyQ3IyQwMCQyNjE0ODEjNjEjJDEjJDgjJDgz,척편한병원,21,병원,110000,서울,110004,관악구,,"서울특별시 관악구 신림로 318 4,5층 (신림동, 청암두산위브)",02-6676-6000,,20130201.0,5,0,0,0,5,0,0,0,0,0,0,0,0,,,202212,http://cphh.co.kr,0.0,126.9302485,37.4825924,0.0201845602563305,0.5,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ5MiQzNjE4MzIjNTEjJDEjJDIjJDgz,청담병원,21,병원,110000,서울,110001,강남구,,"서울특별시 강남구 삼성로147길 46 (청담동, 청담병원 지하1층, 1층일부, 2층~6층)",02-2104-2000,,20150625.0,7,0,0,0,7,0,0,0,0,0,0,0,0,,,202212,,0.0,127.0456922,37.5207651,0.0006887052341597,0.2142857142857142,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ5MiQzNjEyMjIjNDEjJDEjJDgjJDgz,청병원,21,병원,110000,서울,110002,강동구,,서울특별시 강동구 올림픽로 546 G.M.F.빌딩 (성내동),02-2202-3114,,20070625.0,9,0,0,0,9,0,0,0,0,0,0,0,0,,,202212,http://www.chunghospital.net,0.0,127.1210362,37.5302703,0.0327780273952522,0.5,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ3MiQyNjEyMjIjODEjJDEjJDIjJDgz,청화병원,21,병원,110000,서울,110008,동작구,노량진동,서울특별시 동작구 장승배기로 108 (노량진동),02-815-3788,,20010307.0,15,0,0,0,15,0,0,0,0,0,0,0,0,,,202212,http://www.cheongwha.com,0.0,126.9401875,37.507275,0.0286304604486422,0.5,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ4MiQyNjE4MzIjNTEjJDEjJDIjJDgz,최원호병원,21,병원,110000,서울,110015,은평구,,서울특별시 은평구 서오릉로 45 최원호병원 (녹번동),1588-3797,,20110610.0,9,0,0,0,9,0,0,0,0,0,0,0,0,,,202212,,0.0,126.9238665,37.6047776,0.0331223800123321,0.4285714285714285,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ5OSQzNjE4MzIjNDEjJDEjJDQjJDgz,케이에스병원,21,병원,110000,서울,110001,강남구,역삼동,"서울특별시 강남구 선릉로 571 (역삼동, KS병원)",02-538-0075,,20030715.0,10,0,0,0,10,0,0,0,0,0,0,0,0,,,202212,http://www.kshospital.net/,0.0,127.0439661,37.5093284,0.0176681372853621,0.4285714285714285,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQxIyQxMyQyNjE0ODEjNjEjJDEjJDAjJDgz,코리아병원,21,병원,110000,서울,110007,동대문구,,서울특별시 동대문구 장한로 143 (장안동),02-2281-9999,,20030730.0,2,0,0,0,2,0,0,0,0,0,0,0,0,,,202212,,0.0,127.0715342,37.5731957,0.01545424272697,0.5,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQxMyQzNjE4MzIjNDEjJDEjJDgjJDgz,태릉마이크로병원,21,병원,110000,서울,110022,노원구,,서울특별시 노원구 동일로 987 (공릉동),970-0801,,20070427.0,2,0,0,0,2,0,0,0,0,0,0,0,0,,,202212,,0.0,127.0749403,37.6182595,0.0265596146277964,0.5,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQ4OSQzNjE0ODEjNDEjJDEjJDgjJDgz,토마스병원,21,병원,110000,서울,110001,강남구,신사동,서울특별시 강남구 언주로174길 15 구정빌딩 (신사동),1577-5075,,20080326.0,2,0,0,0,2,0,0,0,0,0,0,0,0,,,202212,,0.0,127.0352405,37.5284786,0.0166350794341224,0.5,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ2MiQzNjEwMDIjODEjJDEjJDIjJDgz,튼튼병원,21,병원,110000,서울,110001,강남구,,"서울특별시 강남구 영동대로 713 B1~6층, 7층일부,8층 (청담동)",02-1588-7562,,20120921.0,10,0,0,0,10,0,0,0,0,0,0,0,0,,,202212,http://seoul.tntnhospital.co.kr,0.0,127.0557487,37.5213191,0.0324336747781723,0.5,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ2MiQzNjE0ODEjNjEjJDEjJDgjJDgz,팔팔병원,21,병원,110000,서울,110019,중랑구,,"서울특별시 중랑구 동일로 679 (면목동, 88병원)",02-1899-8875,,20131224.0,7,0,0,0,7,0,0,0,0,0,0,0,0,,,202212,,0.0,127.0796941,37.5909515,0.0249148777856911,0.4285714285714285,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ3OSQzNjE0ODEjNjEjJDEjJDAjJDgz,포미즈여성병원,21,병원,110000,서울,110020,양천구,,"서울특별시 양천구 공항대로 610 (목동, 정종일산부인과)",02-2651-7500,,20030728.0,8,0,0,0,8,0,0,0,0,0,0,0,0,,,202212,http://www.iformiz.co.kr,0.0,126.8723522,37.5467929,0.0275974025974025,0.5,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ5OSQzNjE0ODEjNTEjJDEjJDIjJDgz,핑크힐병원,21,병원,110000,서울,110003,강서구,,서울특별시 강서구 양천로 712 (염창동),02-2658-5114,,19990602.0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,202212,http://www.ksyonsei.com/,0.0,126.8748085,37.5493061,0.01545424272697,0.3571428571428571,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ2MiQyNjE0ODEjNzEjJDEjJDgjJDgz,하나이비인후과병원,21,병원,110000,서울,110001,강남구,,"서울특별시 강남구 역삼로 245 (역삼동, 지하2층일부 1층일부 2층~6층)",02-6925-1111,,20091130.0,13,0,0,0,13,0,0,0,0,0,0,0,0,,,202212,http://www.hanaent.co.kr,0.0,127.0429904,37.4979277,0.0143105001059546,0.5,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ4OSQzNjEyMjIjNDEjJDEjJDgjJDgz,하늘병원,21,병원,110000,서울,110007,동대문구,,서울특별시 동대문구 천호대로 317 하늘병원 (답십리동),02-2246-8750,,20120824.0,15,1,0,0,14,0,0,0,0,0,0,0,0,,,202212,http://www.smcsky.com,0.0,127.0556475,37.5651838,0.029572899190124,0.4285714285714285,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ5OSQzNjEyMjIjODEjJDEjJDIjJDgz,학교법인대진교육재단 제인병원,21,병원,110000,서울,110011,성동구,,서울특별시 성동구 광나루로 243 (송정동),02-3408-2100,,20121213.0,6,0,0,0,4,0,0,0,1,1,0,0,0,,,202212,,0.0,127.0569539,37.5494673,0.054410750732521,0.5,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQ4OSQyNjEyMjIjNjEjJDEjJDAjJDgz,한강수병원,21,병원,110000,서울,110013,영등포구,,서울특별시 영등포구 영등포로 83 한강수병원 (양평동1가),02-1800-7119,,20131107.0,13,0,0,0,13,0,0,0,0,0,0,0,0,,,202212,,0.0,126.8909293,37.522415,0.0125934671389216,0.0714285714285714,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ3OSQyNjEyMjIjNDEjJDEjJDgjJDgz,한솔병원,21,병원,110000,서울,110018,송파구,,서울특별시 송파구 송파대로 445 한솔병원 (석촌동),02-2147-6000,,19980330.0,22,1,0,0,21,0,0,0,0,0,0,0,0,,,202212,http://www.hansolh.co.kr,0.0,127.1059179,37.5061156,0.041674234856053,0.5,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ5OSQyNjE4MzIjNDEjJDEjJDgjJDgz,햇빛병원,21,병원,110000,서울,110024,강북구,,서울특별시 강북구 도봉로 74 (미아동),02-983-7771,,20041019.0,16,0,0,0,16,0,0,0,0,0,0,0,0,,,202212,http://www.hatvit.co.kr,0.0,127.0302959,37.6157812,0.029319165682802,0.5,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQwMyQzNjEwMDIjNTEjJDEjJDYjJDgz,허리나은병원,21,병원,110000,서울,110002,강동구,,서울특별시 강동구 천호대로 1012 (성내동),02-472-0114,,20080829.0,7,0,0,0,7,0,0,0,0,0,0,0,0,,,202212,,0.0,127.1242277,37.5381091,0.0208732654904903,0.2142857142857142,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQ3OSQ0NjEwMDIjNjEjJDEjJDAjJDgz,혜민안과병원,21,병원,110000,서울,110018,송파구,,서울특별시 송파구 중대로 122 (가락동),02-3012-1800,,20161222.0,3,0,0,0,3,0,0,0,0,0,0,0,0,,,202212,,0.0,127.1219354,37.4938555,0.0006887052341597,0.5,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ5OSQyNjE4MzIjNjEjJDEjJDAjJDgz,호산여성병원,21,병원,110000,서울,110001,강남구,,서울특별시 강남구 언주로 871 호산병원 (신사동),02-546-3493,,19990526.0,9,0,0,0,9,0,0,0,0,0,0,0,0,,,202212,http://www.ladyhosan.co.kr,0.0,127.0333541,37.5285704,0.0279417552144824,0.5,0.6
JDQ4MTg4MSM1MSMkMSMkNCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ3OSQzNjE0ODEjNjEjJDEjJDgjJDgz,강남효요양병원,28,요양병원,110000,서울,110004,관악구,,서울특별시 관악구 남부순환로 1704 (봉천동),02-885-8080,,20080415.0,5,1,0,0,4,0,0,0,0,0,0,0,0,,,202212,,0.0,126.9394042,37.4830572,0.0066844919786096,0.0714285714285714,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ3OSQyNjEyMjIjODEjJDEjJDYjJDgz,강동성모요양병원,28,요양병원,110000,서울,110002,강동구,,서울특별시 강동구 올림픽로80길 31 로뎀빌딩 (천호동),02-488-0020,,20070410.0,10,0,0,0,9,0,0,0,0,1,0,0,0,,,202212,,0.0,127.1271993,37.5434735,0.0066844919786096,0.0714285714285714,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQwMyQzNjE0ODEjNzEjJDEjJDgjJDgz,강동우리들요양병원,28,요양병원,110000,서울,110002,강동구,,"서울특별시 강동구 구천면로 202 행복타워빌딩 B2,2,3,4,6층 (천호동)",02-474-7570,,20181214.0,7,0,0,0,5,0,0,0,0,1,0,0,1,,,202212,,0.0,127.127112,37.5401093,0.0066844919786096,0.0714285714285714,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQwMyQzNjE4MzIjODEjJDEjJDIjJDgz,강북연세요양병원,28,요양병원,110000,서울,110010,서대문구,,서울특별시 서대문구 성산로 335 (연희동),02-335-2277,,20060220.0,5,0,0,0,4,0,0,0,0,1,0,0,0,,,202212,,0.0,126.9276697,37.5661224,0.0049019607843137,0.0714285714285714,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQwMyQyNjE4MzIjODEjJDEjJDYjJDgz,그레이스힐 요양병원,28,요양병원,110000,서울,110022,노원구,,"서울특별시 노원구 노원로 461 대감프라자빌딩 3,4,5,6층 (상계동)",02-934-1300,,20200728.0,5,1,0,0,3,0,0,0,0,1,0,0,0,,,202212,,0.0,127.0656456,37.6574391,0.0128220709771511,0.0714285714285714,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQwMyQzNjEyMjIjNDEjJDEjJDQjJDgz,꿈의숲요양병원,28,요양병원,110000,서울,110024,강북구,,서울특별시 강북구 월계로 183 (번동),02-987-9988,,20191015.0,8,1,0,0,6,0,0,0,0,1,0,0,0,,,202212,,0.0,127.0449372,37.6205782,0.0102495543672014,0.0714285714285714,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQxMyQ0NjEwMDIjNDEjJDEjJDgjJDgz,남서울요양병원,28,요양병원,110000,서울,110005,구로구,,"서울특별시 구로구 남부순환로 1291 A동1,2,3,4,5,6,7층 B동 5,6,7층 (가리봉동)",02-863-8999,,20210601.0,5,0,0,0,3,0,0,0,0,2,0,0,0,,,202212,,0.0,126.8943284,37.4788892,0.0049019607843137,0.0714285714285714,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ3OSQyNjE0ODEjODEjJDEjJDYjJDgz,다나움요양병원,28,요양병원,110000,서울,110018,송파구,,서울특별시 송파구 가락로 278 지하1층~지상6층 (방이동),02-412-7272,,20210629.0,2,0,0,0,1,0,0,0,1,0,0,0,0,,,202212,,0.0,127.1198479,37.5124782,0.0104166666666666,0.0714285714285714,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQxMyQyNjEyMjIjODEjJDEjJDIjJDgz,대림요양병원,28,요양병원,110000,서울,110013,영등포구,,"서울특별시 영등포구 가마산로 381 (대림동, 한세빌딩)",02-836-7575,,20091015.0,5,0,0,0,4,0,0,0,0,1,0,0,0,,,202212,,0.0,126.8997825,37.5026221,0.0062388591800356,0.0714285714285714,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ3OSQ0NjE0ODEjNjEjJDEjJDAjJDgz,대한민국요양병원,28,요양병원,110000,서울,110007,동대문구,,"서울특별시 동대문구 장한로 200 (장안동, KS빌딩)",2213-9991,,20160923.0,5,0,0,0,4,0,0,0,0,1,0,0,0,,,202212,,0.0,127.072484,37.5782948,0.0003443526170798,0.0714285714285714,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ5OSQ0NjEwMDIjODEjJDEjJDIjJDgz,더세인트요양병원,28,요양병원,110000,서울,110005,구로구,,"서울특별시 구로구 경인로 218 더세인트빌딩 B1.B중,3~15층 (오류동)",02-333-1119,,20180921.0,10,1,0,0,8,0,0,0,0,1,0,0,0,,,202212,http://www.더세인트.com,0.0,126.8451753,37.4962591,0.0110395397828552,0.0714285714285714,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ4MiQyNjEwMDIjNjEjJDEjJDAjJDgz,더조은요양병원,28,요양병원,110000,서울,110022,노원구,,서울특별시 노원구 화랑로 323 (월계동),02-941-7800,,20160823.0,9,1,0,0,7,0,0,0,0,1,0,0,0,,,202212,,0.0,127.0636702,37.6149081,0.0141589693728731,0.0714285714285714,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ3MiQzNjE4MzIjNjEjJDEjJDgjJDgz,동부참사랑요양병원,28,요양병원,110000,서울,110023,광진구,,서울특별시 광진구 동일로 154 (화양동),02-461-6602,,20171211.0,4,1,0,0,2,0,0,0,0,1,0,0,0,,,202212,,0.0,127.0663265,37.5457631,0.0119047619047619,0.1071428571428571,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ2MiQzNjEwMDIjNjEjJDEjJDgjJDgz,동서요양병원,28,요양병원,110000,서울,110012,성북구,,서울특별시 성북구 동소문로 306-306 (하월곡동),02-942-3611,,20110628.0,5,0,0,0,5,0,0,0,0,0,0,0,0,,,202212,http://www.dsh.co.kr,0.0,127.028927,37.6069155,0.0431887631085491,0.0714285714285714,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQwMyQ0NjE0ODEjNDEjJDEjJDQjJDgz,드림요양병원,28,요양병원,110000,서울,110018,송파구,,"서울특별시 송파구 송이로 111 B3-6층 (가락동, 청석빌딩)",02-430-1122,,20130715.0,7,1,0,0,6,0,0,0,0,0,0,0,0,,,202212,,0.0,127.1221669,37.4967206,0.0122491145218417,0.0714285714285714,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ2MiQ0NjE0ODEjNDEjJDEjJDgjJDgz,로하스참사랑요양병원,28,요양병원,110000,서울,110013,영등포구,,서울특별시 영등포구 경인로77길 6 (문래동2가),02-2634-7500,,20110718.0,3,0,0,0,2,0,0,0,0,1,0,0,0,,,202212,,0.0,126.8933557,37.5127119,0.0122491145218417,0.0714285714285714,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQwMyQ0NjEwMDIjNjEjJDEjJDAjJDgz,마리아성모요양병원,28,요양병원,110000,서울,110013,영등포구,,"서울특별시 영등포구 영중로 122 (영등포동8가, 일이빌딩)",02-2069-0000,,20060913.0,5,0,0,0,4,0,0,0,0,1,0,0,0,,,202212,,0.0,126.905982,37.5271374,0.0089126559714795,0.0714285714285714,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ3OSQzNjE4MzIjNjEjJDEjJDgjJDgz,메디움강남요양병원,28,요양병원,110000,서울,110001,강남구,,서울특별시 강남구 강남대로 276 (도곡동),02-573-5737,,20161028.0,3,0,0,0,2,0,0,0,0,1,0,0,0,,,202212,,0.0,127.0328796,37.488047,0.0003443526170798,0.0714285714285714,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ5OSQyNjE4MzIjNDEjJDEjJDgjJDgz,모나리자요양병원,28,요양병원,110000,서울,110003,강서구,,서울특별시 강서구 양천로 715 지하3층~8층 (염창동),02-3663-6786,,20200206.0,8,0,0,0,8,0,0,0,0,0,0,0,0,,,202212,http://www.모나리자재활병원.com,0.0,126.8755495,37.5497887,0.0092570085885593,0.0714285714285714,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ4MiQ0NjEwMDIjNDEjJDEjJDQjJDgz,보문효사랑요양병원,28,요양병원,110000,서울,110012,성북구,,서울특별시 성북구 보문로 46 (보문동7가),02-929-3355,,20060911.0,5,0,0,0,4,0,0,0,0,1,0,0,0,,,202212,,0.0,127.0227418,37.5797389,0.0084670231729055,0.0714285714285714,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ3OSQyNjE4MzIjNTEjJDEjJDYjJDgz,서울브이아이피(VIP)요양병원,28,요양병원,110000,서울,110005,구로구,,서울특별시 구로구 경인로 297 오류빌딩 (개봉동),02-2611-8883,,20211130.0,9,0,0,0,6,0,0,0,0,3,0,0,0,,,202212,,0.0,126.8535023,37.4979894,0.0062388591800356,0.0714285714285714,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ4MiQzNjEyMjIjNjEjJDEjJDQjJDgz,서울센트럴요양병원,28,요양병원,110000,서울,110013,영등포구,,서울특별시 영등포구 경인로 767 (문래동3가),02-6959-4114,,20180704.0,9,1,0,0,5,0,0,0,0,3,0,0,0,,,202212,,0.0,126.898673,37.5139634,0.0053475935828877,0.0714285714285714,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ5MiQyNjEwMDIjNjEjJDEjJDQjJDgz,서울스마트요양병원,28,요양병원,110000,서울,110020,양천구,,서울특별시 양천구 중앙로 181 복합메디컬타운 3~8층 (신정동),02-2601-7111,,20191213.0,12,2,0,0,6,0,0,0,0,3,0,0,1,,,202212,http://www.cozyhospital.com,0.0,126.8556737,37.5128103,0.0071301247771836,0.0714285714285714,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ5OSQ0NjE0ODEjNTEjJDEjJDIjJDgz,서울에이스요양병원,28,요양병원,110000,서울,110007,동대문구,,서울특별시 동대문구 고산자로 379 (용두동),02-961-4700,,20150911.0,6,0,0,0,4,0,0,0,0,0,0,0,2,,,202212,,0.0,127.0377202,37.5736477,0.0053475935828877,0.0714285714285714,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ3OSQzNjEyMjIjNjEjJDEjJDQjJDgz,서울은빛요양병원,28,요양병원,110000,서울,110013,영등포구,,서울특별시 영등포구 양평로22사길 9 (양평동5가),02-2634-7000,,20061201.0,6,0,0,0,5,0,0,0,0,0,0,0,1,,,202212,http://www.sslh.co.kr,0.0,126.8950234,37.5408377,0.0119047619047619,0.0714285714285714,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ3OSQzNjE0ODEjNDEjJDEjJDgjJDgz,서울제일요양병원,28,요양병원,110000,서울,110020,양천구,,서울특별시 양천구 가로공원로 81 지하1층~지상5층 (신월동),02-2691-9114,,20211227.0,4,0,0,0,3,0,0,0,0,0,0,0,1,,,202212,,0.0,126.8248617,37.5355894,0.0049019607843137,0.0714285714285714,0.6
JDQ4MTg4MSM1MSMkMSMkOCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ3OSQyNjE0ODEjNzEjJDEjJDgjJDgz,서울중앙요양병원,28,요양병원,110000,서울,110010,서대문구,,서울특별시 서대문구 충정로 71-5 (충정로2가),02-3147-0999,,20210728.0,5,1,0,0,3,0,0,0,0,1,0,0,0,,,202212,,0.0,126.9654392,37.5651933,0.0049019607843137,0.0714285714285714,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ2MiQzNjE0ODEjNjEjJDEjJDAjJDgz,서울현대요양병원,28,요양병원,110000,서울,110002,강동구,,서울특별시 강동구 올림픽로 684 (천호동),02-484-7588,,20170320.0,8,0,0,0,8,0,0,0,0,0,0,0,0,,,202212,,0.0,127.1253106,37.5422847,0.0120320855614973,0.0714285714285714,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ5OSQzNjEyMjIjNjEjJDEjJDgjJDgz,서울효사랑요양병원,28,요양병원,110000,서울,110011,성동구,,서울특별시 성동구 동일로 93 (성수동2가),02-462-0114,,20090603.0,6,1,0,0,4,0,0,0,0,1,0,0,0,,,202212,,0.0,127.0631075,37.5411448,0.0087100956084913,0.0714285714285714,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ5MiQzNjEyMjIjNTEjJDEjJDIjJDgz,서울힐링요양병원,28,요양병원,110000,서울,110018,송파구,,서울특별시 송파구 중대로 191 서울힐링요양병원 (가락동),02-1833-7037,,20190211.0,3,0,0,0,2,0,0,0,0,1,0,0,0,,,202212,,0.0,127.1257253,37.4990602,0.0003443526170798,0.0714285714285714,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ2MiQzNjEyMjIjNDEjJDEjJDgjJDgz,선의요양병원,28,요양병원,110000,서울,110022,노원구,,서울특별시 노원구 동일로 1419 9층~11층 (상계동),02-3391-3992,,20051227.0,3,0,0,0,2,0,0,0,0,1,0,0,0,,,202212,http://sunnycare.kr/home/index.php,0.0,127.0598676,37.6553187,0.0,0.0714285714285714,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ5OSQyNjEwMDIjNjEjJDEjJDQjJDgz,성북웰니스요양병원,28,요양병원,110000,서울,110012,성북구,,서울특별시 성북구 보문로 86 (보문동4가),02-3672-2233,,20141022.0,6,1,0,0,4,0,0,0,0,1,0,0,0,,,202212,,0.0,127.0209304,37.5830094,0.0053475935828877,0.0714285714285714,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ5MiQ0NjEwMDIjNDEjJDEjJDgjJDgz,성신고려요양병원,28,요양병원,110000,서울,110025,금천구,독산동,서울특별시 금천구 범안로 1191 (독산동),02-805-6797,,20121226.0,2,0,0,0,2,0,0,0,0,0,0,0,0,,,202212,,0.0,126.8940784,37.4667514,0.0122491145218417,0.0714285714285714,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ4MiQzNjEwMDIjNzEjJDEjJDgjJDgz,신우요양병원,28,요양병원,110000,서울,110007,동대문구,,"서울특별시 동대문구 한천로 207 지하1,지상1,3~6층 (전농동)",02-2214-7582,,20070504.0,3,0,0,0,2,0,0,0,0,1,0,0,0,,,202212,,0.0,127.0681414,37.5795407,0.0089126559714795,0.0714285714285714,0.6
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQyIyQzIyQwMCQ0NjE0ODEjNzEjJDEjJDgjJDgz,신화요양병원,28,요양병원,110000,서울,110013,영등포구,,서울특별시 영등포구 영중로 100 (영등포동7가),02-2632-8114,,20070312.0,5,0,0,0,5,0,0,0,0,0,0,0,0,,,202212,http://www.shinhwahp.com/,0.0,126.9056672,37.5251061,0.0119047619047619,0.0714285714285714,0.6
